"name","price","no_of_reviews"
"OnePlus Bullets Wireless Z in-Ear Bluetooth Earphones with Mic (Black)","1,999","864"
"Mi True Wireless Earphones 2 with Mic (White)","4,499","71"
"OPPO ENCO W31 True Wireless Earphone with Dual-Mic (White)","3,999","29"
"Vivo V19 (Mystic Silver, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","27,990","13"
"Big Traders Handsfree InEar Earphone with 2 mic (White) for Samsung and All Smart Phone","245","6"
"Noise Shots X5 PRO True Wireless Earbuds Powered by Qualcomm aptX with 150 Hours Total Playtime (Charcoal Grey)","4,999","8"
"Vivo V19 (Piano Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","27,990","13"
"Huawei Watch GT 2e Sport (Graphite Black) + Wireless Headsets","11,990","13"
"JGD PRODUCTS® [ Pack of 1 ] Samsung Galaxy M31/M21/M30S/M30 (Except Edges) Tempered Glass | Case Friendly Tempered glass with Installation kit","129","177"
"Mi 10 (Coral Green, 8GB RAM, 128GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready","49,999","1"
"Mi Wireless Power Bank 10000mAh (Black, with Type-C Support, 18W Fast Charging)","2,499","5"
"Mi 10W Charger with Cable (1.2 Meter, Black)","499","7,243"
"Amozo Type C to 3.5 mm Jack Audio Connector, Noise Cancelling Headphones Jack Converter Audio Adapter for OnePlus 7T / 7 Pro / 1+6/1+6T","299","174"
"FASTX™ Type C to 3.5 mm Jack Audio Connector, Noise Cancelling Headphones Jack Converter Audio Adapter for OnePlus Phones","322","1"
"Mi 10 (Twilight Grey, 8GB RAM, 128GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready","49,999","7"
"HUAWEI Y9s (Breathing Crystal, 6GB RAM, 128GB Storage)","19,990","2"
"UTRONICS™ Mobile Battery for Redmi Note 4 / Mi Note 4 / BN43 4000mAh Genuine Battery","699","3"
"Shopyholik® Latest Wireless TWS i7s Bluetooth Earphones Headsets Ear Buds with Charging Box and Mic - White","439","1"
"Mi 10 (Coral Green, 8GB RAM, 256GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready","54,999","2"
"Infinizy D30 Bass Curve Neck Band in-Ear Bluetooth Wireless Earphones, with Bluetooth 5.0, Sweatproof Headphones, Long Life Battery, Flexible Headset and Built-in Mic","649","1"
"Mi 10 (Twilight Grey, 8GB RAM, 256GB Storage) - 108MP Quad Camera, SD 865 Processor, 5G Ready","54,999","174"
"FASTX™ Trending Mclaren Edition Type C to 3.5 mm Jack Audio Connector, Noise Cancelling Headphones Jack Converter Audio Adapter for OnePlus Phones","322","1"
"Alakazam Super Bass, Wired Earphones with Immersive Audio, Multi-Function Button, in-line Microphone for All Mobile (Black Color)","129","24"
"ONCRO® Black Metal 2 in 1 Type C to 3.5mm Aux Headphone Splitter Adapter Jack & Charging Jack Converter for Oneplus 6t, 7, 7 pro.","412",""
"Lustree for Redmi Note 9 Pro/Redmi Note 9 Pro Max Case,Soft TPU Transparent Boom Anti Slip Scratch Shockproof Resistant Protective Cover Clear Case for Redmi Note 9 Pro/Redmi Note 9 Pro Max","229","24"
"Nishtech for Samsung Galaxy M31/M21 Premium Anti-Fingerprint Scratch Resistant Matte Hammer Proof Impossible Nano Film Screen Protector [Better Than Tempered Glass] Screen Guard","149","23"
"Honor 9X (Sapphire Blue, 6+128GB Storage) -Pop up Front Camera & 48MP Triple Rear Camera","16,999","3"
"ShopeeQ Matt Screen Guard For Poco X2 / Redmi K30 Matte Ceramic Film with Edge To Edge Cover - Pack of 1 (It's Not Glass)","299","1"
"Technofill Hbs-730 Neckband Bluetooth Headphones Wireless Sport Stereo Headsets Hands-Free Earphones with Inbuilt Mic for All Smartphones","349","7"
"HUAWEI Y9s (Midnight Black, 6GB RAM, 128GB Storage)","19,990","24"
"Nishtech for Samsung Galaxy M31/M30S/M30 Premium Anti-Fingerprint Scratch Resistant Matte Hammer Proof Impossible Nano Film Screen Protector [Better Than Tempered Glass] Screen Guard","149","177"
"JGD PRODUCTS® Edge to Edge Tempered Glass Screen Protector for Samsung Galaxy M31/M21/M30S/M30/A20/A30 with Installation kit (Pack of 2)","299","1"
"POPIO Back Cover Case Designed for Redmi Note 8 (Black)","119","45"
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,990","1"
"NJ Washable Reusable PPE Safety Coverall with Shoe cover, for Factory people, dental Clinic, Security Guards, Housekeeping, Ground Staff, Airport Staff, Bank person, Delivery Boys for daily use: 1 Pc.","1,799","1"
"Big Traders Headset for Samsung 3. 5 mm Jack Hands-Free Headset Earphones for Samsung and All Smartphones","220","45"
"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","14,990","24"
"MINISO Fruit Series in-Ear Headphones with Microphone, Comfortable Earbuds Earphones for Mobile Smartphones Apple Xiaomi Realme Oppo Samsung - Black","190",""
"Nishtech for Redmi Note 7/Note 7S/Note 7 pro Premium Anti-Fingerprint Scratch Resistant Matte Hammer Proof Impossible Nano Film Screen Protector [Better Than Tempered Glass] Screen Guard","149",""
"GKW QC-10 Bluetooth Earphone Wireless Headphones for Mobile Phone","299",""
"Coolgadgetz Sports Earphone with Mic,HD Sound and Noise Cancellation (Looks Same Like Apple Earphone 3.55mm)","169",""
